Fold	c	f_score
fold-0	1	0.276400367309
fold-1	1	0.286544046467
fold-2	1	0.228941684665
fold-0	1.1	0.276400367309
fold-1	1.1	0.288470815244
fold-2	1.1	0.228941684665
fold-0	1.2	0.277318640955
fold-1	1.2	0.289980732177
fold-2	1.2	0.229508196721
fold-0	1.3	0.277064220183
fold-1	1.3	0.291626564004
fold-2	1.3	0.230371009491
fold-0	1.4	0.279560036664
fold-1	1.4	0.292307692308
fold-2	1.4	0.230271668823
fold-0	1.5	0.278899082569
fold-1	1.5	0.292987512008
fold-2	1.5	0.230172413793
fold-0	1.6	0.278643446379
fold-1	1.6	0.292987512008
fold-2	1.6	0.230835486649
fold-0	1.7	0.279176201373
fold-1	1.7	0.292706333973
fold-2	1.7	0.23073611709
fold-0	1.8	0.279048490393
fold-1	1.8	0.292706333973
fold-2	1.8	0.230636833046
fold-0	1.9	0.28102189781
fold-1	1.9	0.292846855497
fold-2	1.9	0.231859167024
fold-0	2.0	0.281934306569
fold-1	2.0	0.292706333973
fold-2	2.0	0.231859167024
fold-0	2.1	0.281805745554
fold-1	2.1	0.293384467881
fold-2	2.1	0.231859167024
fold-0	2.2	0.281805745554
fold-1	2.2	0.293384467881
fold-2	2.2	0.231099656357
fold-0	2.3	0.281278538813
fold-1	2.3	0.293384467881
fold-2	2.3	0.231859167024
fold-0	2.4	0.282062984938
fold-1	2.4	0.293384467881
fold-2	2.4	0.231099656357
fold-0	2.5	0.282460136674
fold-1	2.5	0.294877932025
fold-2	2.5	0.231859167024
fold-0	2.6	0.282717738258
fold-1	2.6	0.296755725191
fold-2	2.6	0.231099656357
fold-0	2.7	0.283371298405
fold-1	2.7	0.297426120114
fold-2	2.7	0.231099656357
fold-0	2.8	0.283371298405
fold-1	2.8	0.297426120114
fold-2	2.8	0.231859167024
fold-0	2.9	0.282855843565
fold-1	2.9	0.297426120114
fold-2	2.9	0.231099656357
fold-0	3.0	0.282855843565
fold-1	3.0	0.297426120114
fold-2	3.0	0.231859167024
fold-0	3.1	0.282727272727
fold-1	3.1	0.296755725191
fold-2	3.1	0.231859167024
fold-0	3.2	0.282727272727
fold-1	3.2	0.296614210777
fold-2	3.2	0.232618025751
fold-0	3.3	0.282727272727
fold-1	3.3	0.296614210777
fold-2	3.3	0.232518232518
fold-0	3.4	0.282727272727
fold-1	3.4	0.296614210777
fold-2	3.4	0.233276157804
fold-0	3.5	0.283507496592
fold-1	3.5	0.297284421153
fold-2	3.5	0.232518232518
fold-0	3.6	0.283507496592
fold-1	3.6	0.297284421153
fold-2	3.6	0.232518232518
fold-0	3.7	0.282727272727
fold-1	3.7	0.297284421153
fold-2	3.7	0.231759656652
fold-0	3.8	0.283507496592
fold-1	3.8	0.297284421153
fold-2	3.8	0.232518232518
fold-0	3.9	0.283507496592
fold-1	3.9	0.297284421153
fold-2	3.9	0.232518232518
fold-0	4.0	0.283507496592
